wl,n,k
11.26,3.469748455,0.000195367
11.27,3.469750709,0.000195428
11.28,3.46975295,0.000195401
11.29,3.469755174,0.000195287
11.3,3.469757377,0.000195089
11.31,3.469759555,0.000194807
11.32,3.469761704,0.000194442
11.33,3.469763821,0.000193997
11.34,3.469765901,0.000193474
11.35,3.469767942,0.000192876
11.36,3.46976994,0.000192204
11.37,3.469771893,0.000191461
11.38,3.469773796,0.000190651
11.39,3.469775649,0.000189776
11.4,3.469777448,0.000188838
11.41,3.469779191,0.000187842
11.42,3.469780877,0.00018679
11.43,3.469782503,0.000185686
11.44,3.469784068,0.000184532
11.45,3.469785571,0.000183333
11.46,3.469787011,0.00018209
11.47,3.469788386,0.000180808
11.48,3.469789697,0.00017949
11.49,3.469790942,0.000178139
11.5,3.469792121,0.000176758
11.51,3.469793235,0.000175351
11.52,3.469794282,0.000173919
11.53,3.469795264,0.000172467
11.54,3.46979618,0.000170996
11.55,3.469797032,0.000169511
11.56,3.469797818,0.000168013
11.57,3.469798541,0.000166505
11.58,3.469799201,0.000164989
11.59,3.469799799,0.000163468
11.6,3.469800335,0.000161945
11.61,3.469800811,0.00016042
11.62,3.469801228,0.000158897
11.63,3.469801587,0.000157377
11.64,3.469801889,0.000155863
11.65,3.469802136,0.000154355
11.66,3.469802328,0.000152855
11.67,3.469802467,0.000151365
11.68,3.469802554,0.000149887
11.69,3.469802591,0.000148421
11.7,3.469802578,0.000146969
11.71,3.469802518,0.000145532
11.72,3.469802411,0.000144112
11.73,3.46980226,0.000142708
11.74,3.469802064,0.000141322
11.75,3.469801826,0.000139955
11.76,3.469801546,0.000138607
11.77,3.469801227,0.000137279
11.78,3.469800869,0.000135973
11.79,3.469800473,0.000134687
11.8,3.469800041,0.000133423
11.81,3.469799574,0.000132182
11.82,3.469799073,0.000130963
11.83,3.469798539,0.000129766
11.84,3.469797973,0.000128593
11.85,3.469797376,0.000127444
11.86,3.46979675,0.000126318
11.87,3.469796095,0.000125216
11.88,3.469795412,0.000124138
